,date,product_detail,product_category,product_type,revenue
2713,2023-02-12,Cappuccino,Coffee,Barista Espresso,48.75
2714,2023-02-12,Croissant,Bakery,Pastry,52.5
2715,2023-02-12,Espresso shot,Coffee,Barista Espresso,66.0
2716,2023-02-12,Peppermint Lg,Tea,Brewed herbal tea,30.0
2717,2023-02-12,Traditional Blend Chai,Loose Tea,Chai tea,17.9
2718,2023-02-12,Jumbo Savory Scone,Bakery,Scone,56.28
2719,2023-02-12,Spicy Eye Opener Chai Rg,Tea,Brewed Chai tea,48.45
2720,2023-02-12,Our Old Time Diner Blend Lg,Coffee,Drip coffee,30.0
2721,2023-02-12,Almond Croissant,Bakery,Pastry,37.5
2722,2023-02-12,Scottish Cream Scone ,Bakery,Scone,31.5
2723,2023-02-12,Sustainably Grown Organic Lg,Drinking Chocolate,Hot chocolate,52.25
2724,2023-02-12,Ginger Scone,Bakery,Scone,24.36
2725,2023-02-12,Serenity Green Tea Rg,Tea,Brewed Green tea,30.0
2726,2023-02-12,Columbian Medium Roast,Coffee beans,Gourmet Beans,15.0
2727,2023-02-12,Earl Grey Rg,Tea,Brewed Black tea,57.5
2728,2023-02-12,Peppermint Rg,Tea,Brewed herbal tea,47.5
2729,2023-02-12,Cappuccino Lg,Coffee,Barista Espresso,51.0
2730,2023-02-12,Sugar Free Vanilla syrup,Flavours,Sugar free syrup,20.0
2731,2023-02-12,English Breakfast Lg,Tea,Brewed Black tea,42.0
2732,2023-02-12,Our Old Time Diner Blend Rg,Coffee,Drip coffee,57.5
2733,2023-02-12,Ethiopia Rg,Coffee,Gourmet brewed coffee,45.0
2734,2023-02-12,Jamaican Coffee River Lg,Coffee,Premium brewed coffee,67.5
2735,2023-02-12,Brazilian Sm,Coffee,Organic brewed coffee,33.0
2736,2023-02-12,Hazelnut syrup,Flavours,Regular syrup,10.4
2737,2023-02-12,Peppermint,Loose Tea,Herbal tea,8.95
2738,2023-02-12,I Need My Bean! Latte cup,Branded,Housewares,28.0
2739,2023-02-12,Latte Rg,Coffee,Barista Espresso,85.0
2740,2023-02-12,Spicy Eye Opener Chai,Loose Tea,Chai tea,32.85
2741,2023-02-12,Morning Sunrise Chai Rg,Tea,Brewed Chai tea,55.0
2742,2023-02-12,Jamaican Coffee River Rg,Coffee,Premium brewed coffee,31.0
2743,2023-02-12,Ethiopia Lg,Coffee,Gourmet brewed coffee,52.5
2744,2023-02-12,Jamaican Coffee River Sm,Coffee,Premium brewed coffee,22.05
2745,2023-02-12,Chocolate syrup,Flavours,Regular syrup,17.6
2746,2023-02-12,Earl Grey,Loose Tea,Black tea,17.9
2747,2023-02-12,Sustainably Grown Organic Rg,Drinking Chocolate,Hot chocolate,90.0
2748,2023-02-12,Ginger Biscotti,Bakery,Biscotti,21.9
2749,2023-02-12,Earl Grey Lg,Tea,Brewed Black tea,39.0
2750,2023-02-12,Spicy Eye Opener Chai Lg,Tea,Brewed Chai tea,62.0
2751,2023-02-12,English Breakfast,Loose Tea,Black tea,8.95
2752,2023-02-12,Espresso Roast,Coffee beans,Espresso Beans,14.75
2753,2023-02-12,Columbian Medium Roast Rg,Coffee,Gourmet brewed coffee,37.5
2754,2023-02-12,Traditional Blend Chai Rg,Tea,Brewed Chai tea,52.5
2755,2023-02-13,Brazilian - Organic,Coffee beans,Organic Beans,36.0
2756,2023-02-13,English Breakfast Rg,Tea,Brewed Black tea,45.0
2757,2023-02-13,Primo Espresso Roast,Coffee beans,Espresso Beans,20.45
2758,2023-02-13,Hazelnut Biscotti,Bakery,Biscotti,32.5
2759,2023-02-13,Brazilian Lg,Coffee,Organic brewed coffee,112.0
2760,2023-02-13,Chili Mayan,Packaged Chocolate,Drinking Chocolate,13.33
2761,2023-02-13,Lemon Grass Rg,Tea,Brewed herbal tea,35.0
2762,2023-02-13,Serenity Green Tea Rg,Tea,Brewed Green tea,60.0
2763,2023-02-13,Ginger Biscotti,Bakery,Biscotti,35.04
2764,2023-02-13,Hazelnut syrup,Flavours,Regular syrup,12.0
2765,2023-02-13,Espresso shot,Coffee,Barista Espresso,72.0
2766,2023-02-13,Ethiopia Sm,Coffee,Gourmet brewed coffee,41.8
2767,2023-02-13,Carmel syrup,Flavours,Regular syrup,12.0
2768,2023-02-13,Peppermint Lg,Tea,Brewed herbal tea,39.0
2769,2023-02-13,Cranberry Scone,Bakery,Scone,20.3
2770,2023-02-13,Dark chocolate Rg,Drinking Chocolate,Hot chocolate,52.5
2771,2023-02-13,Dark chocolate Lg,Drinking Chocolate,Hot chocolate,94.5
2772,2023-02-13,Chocolate Chip Biscotti,Bakery,Biscotti,28.0
2773,2023-02-13,Spicy Eye Opener Chai Rg,Tea,Brewed Chai tea,38.25
2774,2023-02-13,Croissant,Bakery,Pastry,31.5
2775,2023-02-13,Columbian Medium Roast Lg,Coffee,Gourmet brewed coffee,54.0
2776,2023-02-13,Jamaican Coffee River Lg,Coffee,Premium brewed coffee,82.5
2777,2023-02-13,Our Old Time Diner Blend Sm,Coffee,Drip coffee,38.0
2778,2023-02-13,Columbian Medium Roast Rg,Coffee,Gourmet brewed coffee,57.5
2779,2023-02-13,Columbian Medium Roast Sm,Coffee,Gourmet brewed coffee,48.0
2780,2023-02-13,Almond Croissant,Bakery,Pastry,63.75
2781,2023-02-13,Oatmeal Scone,Bakery,Scone,12.0
2782,2023-02-13,Ginger Scone,Bakery,Scone,16.24
2783,2023-02-13,Earl Grey Rg,Tea,Brewed Black tea,57.5
2784,2023-02-13,Traditional Blend Chai,Loose Tea,Chai tea,8.95
2785,2023-02-13,Jamaican Coffee River Sm,Coffee,Premium brewed coffee,63.7
2786,2023-02-13,Peppermint Rg,Tea,Brewed herbal tea,35.0
2787,2023-02-13,Our Old Time Diner Blend Rg,Coffee,Drip coffee,32.5
2788,2023-02-13,Sustainably Grown Organic Rg,Drinking Chocolate,Hot chocolate,67.5
2789,2023-02-13,Espresso Roast,Coffee beans,Espresso Beans,29.5
2790,2023-02-13,Brazilian Rg,Coffee,Organic brewed coffee,57.0
2791,2023-02-13,Latte,Coffee,Barista Espresso,63.75
2792,2023-02-13,Scottish Cream Scone ,Bakery,Scone,45.0
2793,2023-02-13,Brazilian Sm,Coffee,Organic brewed coffee,24.2
2794,2023-02-13,Organic Decaf Blend,Coffee beans,Organic Beans,22.5
2795,2023-02-13,Traditional Blend Chai Rg,Tea,Brewed Chai tea,45.0
2796,2023-02-13,Jamaican Coffee River Rg,Coffee,Premium brewed coffee,46.5
2797,2023-02-13,Ethiopia,Coffee beans,Gourmet Beans,42.0
2798,2023-02-13,Chocolate syrup,Flavours,Regular syrup,16.0
2799,2023-02-13,Lemon Grass Lg,Tea,Brewed herbal tea,24.0
2800,2023-02-13,Spicy Eye Opener Chai,Loose Tea,Chai tea,10.95
2801,2023-02-13,Morning Sunrise Chai Lg,Tea,Brewed Chai tea,80.0
2802,2023-02-13,Morning Sunrise Chai Rg,Tea,Brewed Chai tea,42.5
2803,2023-02-13,Sugar Free Vanilla syrup,Flavours,Sugar free syrup,12.8
2804,2023-02-13,Traditional Blend Chai Lg,Tea,Brewed Chai tea,81.0
2805,2023-02-13,Chocolate Croissant,Bakery,Pastry,48.75
2806,2023-02-13,Serenity Green Tea Lg,Tea,Brewed Green tea,39.0
2807,2023-02-13,Peppermint,Loose Tea,Herbal tea,8.95
2808,2023-02-13,Sustainably Grown Organic,Packaged Chocolate,Organic Chocolate,7.6
2809,2023-02-13,Jumbo Savory Scone,Bakery,Scone,51.59
2810,2023-02-13,Lemon Grass,Loose Tea,Herbal tea,17.9
2811,2023-02-13,Ethiopia Lg,Coffee,Gourmet brewed coffee,63.0
2812,2023-02-13,Ouro Brasileiro shot,Coffee,Barista Espresso,33.0
2813,2023-02-13,English Breakfast Lg,Tea,Brewed Black tea,39.0
2814,2023-02-13,Sustainably Grown Organic Lg,Drinking Chocolate,Hot chocolate,90.25
2815,2023-02-13,Cappuccino,Coffee,Barista Espresso,86.25
2816,2023-02-13,Earl Grey Lg,Tea,Brewed Black tea,75.0
2817,2023-02-13,Earl Grey,Loose Tea,Black tea,8.95
2818,2023-02-13,Our Old Time Diner Blend Lg,Coffee,Drip coffee,48.0
2819,2023-02-13,Latte Rg,Coffee,Barista Espresso,38.25
2820,2023-02-13,Ethiopia Rg,Coffee,Gourmet brewed coffee,36.0
2821,2023-02-13,Spicy Eye Opener Chai Lg,Tea,Brewed Chai tea,12.4
2822,2023-02-13,Cappuccino Lg,Coffee,Barista Espresso,55.25
2823,2023-02-14,Jamacian Coffee River,Coffee beans,Premium Beans,19.75
2824,2023-02-14,Sustainably Grown Organic Rg,Drinking Chocolate,Hot chocolate,41.25
2825,2023-02-14,Ethiopia Sm,Coffee,Gourmet brewed coffee,22.0
2826,2023-02-14,Our Old Time Diner Blend Sm,Coffee,Drip coffee,22.0
2827,2023-02-14,Sugar Free Vanilla syrup,Flavours,Sugar free syrup,20.8
2828,2023-02-14,Jamaican Coffee River Lg,Coffee,Premium brewed coffee,56.25
2829,2023-02-14,Brazilian Lg,Coffee,Organic brewed coffee,63.0
2830,2023-02-14,Serenity Green Tea Lg,Tea,Brewed Green tea,24.0
2831,2023-02-14,Earl Grey Lg,Tea,Brewed Black tea,27.0
2832,2023-02-14,Primo Espresso Roast,Coffee beans,Espresso Beans,20.45
2833,2023-02-14,Sustainably Grown Organic,Packaged Chocolate,Organic Chocolate,7.6
2834,2023-02-14,Peppermint Rg,Tea,Brewed herbal tea,50.0
2835,2023-02-14,Ethiopia Rg,Coffee,Gourmet brewed coffee,45.0
2836,2023-02-14,Our Old Time Diner Blend,Coffee beans,House blend Beans,18.0
2837,2023-02-14,Sustainably Grown Organic Lg,Drinking Chocolate,Hot chocolate,71.25
2838,2023-02-14,Spicy Eye Opener Chai Rg,Tea,Brewed Chai tea,22.95
2839,2023-02-14,Morning Sunrise Chai Rg,Tea,Brewed Chai tea,30.0
2840,2023-02-14,Chocolate syrup,Flavours,Regular syrup,23.2
2841,2023-02-14,Hazelnut syrup,Flavours,Regular syrup,20.0
2842,2023-02-14,Columbian Medium Roast,Coffee beans,Gourmet Beans,15.0
2843,2023-02-14,Morning Sunrise Chai Lg,Tea,Brewed Chai tea,64.0
2844,2023-02-14,Oatmeal Scone,Bakery,Scone,21.0
2845,2023-02-14,Brazilian - Organic,Coffee beans,Organic Beans,18.0
2846,2023-02-14,Hazelnut Biscotti,Bakery,Biscotti,48.75
2847,2023-02-14,I Need My Bean! T-shirt,Branded,Clothing,28.0
2848,2023-02-14,Spicy Eye Opener Chai Lg,Tea,Brewed Chai tea,18.6
2849,2023-02-14,Columbian Medium Roast Sm,Coffee,Gourmet brewed coffee,42.0
2850,2023-02-14,Cranberry Scone,Bakery,Scone,52.78
2851,2023-02-14,Columbian Medium Roast Lg,Coffee,Gourmet brewed coffee,36.0
2852,2023-02-14,I Need My Bean! Latte cup,Branded,Housewares,42.0
2853,2023-02-14,Guatemalan Sustainably Grown,Coffee beans,Green beans,20.0
2854,2023-02-14,Serenity Green Tea,Loose Tea,Green tea,9.25
2855,2023-02-14,Traditional Blend Chai Rg,Tea,Brewed Chai tea,40.0
2856,2023-02-14,Jamaican Coffee River Sm,Coffee,Premium brewed coffee,39.2
2857,2023-02-14,Lemon Grass Lg,Tea,Brewed herbal tea,57.0
2858,2023-02-14,English Breakfast,Loose Tea,Black tea,44.75
2859,2023-02-14,Scottish Cream Scone ,Bakery,Scone,40.5
2860,2023-02-14,Traditional Blend Chai Lg,Tea,Brewed Chai tea,30.0
2861,2023-02-14,Jumbo Savory Scone,Bakery,Scone,56.28
2862,2023-02-14,Brazilian Rg,Coffee,Organic brewed coffee,39.0
2863,2023-02-14,Brazilian Sm,Coffee,Organic brewed coffee,22.0
2864,2023-02-14,Ouro Brasileiro shot,Coffee,Barista Espresso,24.0
2865,2023-02-14,Serenity Green Tea Rg,Tea,Brewed Green tea,17.5
2866,2023-02-14,Jamaican Coffee River Rg,Coffee,Premium brewed coffee,46.5
2867,2023-02-14,Earl Grey Rg,Tea,Brewed Black tea,27.5
2868,2023-02-14,Almond Croissant,Bakery,Pastry,11.25
2869,2023-02-14,Dark chocolate,Packaged Chocolate,Drinking Chocolate,6.4
2870,2023-02-14,Espresso Roast,Coffee beans,Espresso Beans,14.75
2871,2023-02-14,Lemon Grass,Loose Tea,Herbal tea,35.8
2872,2023-02-14,Spicy Eye Opener Chai,Loose Tea,Chai tea,32.85
2873,2023-02-14,Dark chocolate Lg,Drinking Chocolate,Hot chocolate,67.5
2874,2023-02-14,Ginger Biscotti,Bakery,Biscotti,30.66
2875,2023-02-14,Chocolate Chip Biscotti,Bakery,Biscotti,31.5
2876,2023-02-14,Columbian Medium Roast Rg,Coffee,Gourmet brewed coffee,50.0
2877,2023-02-14,Espresso shot,Coffee,Barista Espresso,39.0
2878,2023-02-14,Latte Rg,Coffee,Barista Espresso,89.25
2879,2023-02-14,Carmel syrup,Flavours,Regular syrup,12.0
2880,2023-02-14,English Breakfast Lg,Tea,Brewed Black tea,36.0
2881,2023-02-14,Dark chocolate Rg,Drinking Chocolate,Hot chocolate,42.0
2882,2023-02-14,I Need My Bean! Diner mug,Branded,Housewares,48.0
2883,2023-02-14,Latte,Coffee,Barista Espresso,71.25
2884,2023-02-14,Our Old Time Diner Blend Lg,Coffee,Drip coffee,33.0
2885,2023-02-14,Morning Sunrise Chai,Loose Tea,Chai tea,9.5
2886,2023-02-14,Croissant,Bakery,Pastry,28.0
2887,2023-02-14,Ginger Scone,Bakery,Scone,12.18
2888,2023-02-14,Ethiopia Lg,Coffee,Gourmet brewed coffee,42.0
2889,2023-02-14,Lemon Grass Rg,Tea,Brewed herbal tea,27.5
2890,2023-02-14,Ethiopia,Coffee beans,Gourmet Beans,21.0
2891,2023-02-14,Chocolate Croissant,Bakery,Pastry,52.5
2892,2023-02-14,Chili Mayan,Packaged Chocolate,Drinking Chocolate,13.33
2893,2023-02-14,Peppermint Lg,Tea,Brewed herbal tea,33.0
2894,2023-02-14,Organic Decaf Blend,Coffee beans,Organic Beans,45.0
2895,2023-02-14,Our Old Time Diner Blend Rg,Coffee,Drip coffee,40.0
2896,2023-02-14,Cappuccino,Coffee,Barista Espresso,90.0
2897,2023-02-14,Cappuccino Lg,Coffee,Barista Espresso,93.5
2898,2023-02-14,English Breakfast Rg,Tea,Brewed Black tea,32.5
2899,2023-02-15,Earl Grey Lg,Tea,Brewed Black tea,72.0
2900,2023-02-15,Ethiopia,Coffee beans,Gourmet Beans,42.0
2901,2023-02-15,Peppermint Rg,Tea,Brewed herbal tea,42.5
2902,2023-02-15,Lemon Grass Lg,Tea,Brewed herbal tea,75.0
2903,2023-02-15,Jamaican Coffee River Sm,Coffee,Premium brewed coffee,46.55
2904,2023-02-15,Traditional Blend Chai Rg,Tea,Brewed Chai tea,20.0
2905,2023-02-15,Morning Sunrise Chai Rg,Tea,Brewed Chai tea,52.5
2906,2023-02-15,Our Old Time Diner Blend Lg,Coffee,Drip coffee,60.0
2907,2023-02-15,Ginger Biscotti,Bakery,Biscotti,21.9
2908,2023-02-15,Ginger Scone,Bakery,Scone,52.78
2909,2023-02-15,Brazilian Lg,Coffee,Organic brewed coffee,63.0
2910,2023-02-15,Brazilian Sm,Coffee,Organic brewed coffee,19.8
2911,2023-02-15,Jamacian Coffee River,Coffee beans,Premium Beans,19.75
2912,2023-02-15,Sustainably Grown Organic Rg,Drinking Chocolate,Hot chocolate,63.75
2913,2023-02-15,Ethiopia Lg,Coffee,Gourmet brewed coffee,45.5
2914,2023-02-15,Primo Espresso Roast,Coffee beans,Espresso Beans,20.45
2915,2023-02-15,Organic Decaf Blend,Coffee beans,Organic Beans,67.5
2916,2023-02-15,English Breakfast,Loose Tea,Black tea,17.9
2917,2023-02-15,Serenity Green Tea,Loose Tea,Green tea,9.25
2918,2023-02-15,Brazilian Rg,Coffee,Organic brewed coffee,30.0
2919,2023-02-15,Carmel syrup,Flavours,Regular syrup,12.0
2920,2023-02-15,Cappuccino,Coffee,Barista Espresso,63.75
2921,2023-02-15,Sugar Free Vanilla syrup,Flavours,Sugar free syrup,12.0
2922,2023-02-15,Sustainably Grown Organic,Packaged Chocolate,Organic Chocolate,15.2
2923,2023-02-15,Brazilian - Organic,Coffee beans,Organic Beans,18.0
2924,2023-02-15,Cappuccino Lg,Coffee,Barista Espresso,76.5
2925,2023-02-15,Oatmeal Scone,Bakery,Scone,18.0
2926,2023-02-15,Croissant,Bakery,Pastry,28.0
2927,2023-02-15,Lemon Grass Rg,Tea,Brewed herbal tea,60.0
2928,2023-02-15,Cranberry Scone,Bakery,Scone,48.72
2929,2023-02-15,Morning Sunrise Chai Lg,Tea,Brewed Chai tea,64.0
2930,2023-02-15,Almond Croissant,Bakery,Pastry,30.0
2931,2023-02-15,Jamaican Coffee River Rg,Coffee,Premium brewed coffee,55.8
2932,2023-02-15,Guatemalan Sustainably Grown,Coffee beans,Green beans,20.0
2933,2023-02-15,Scottish Cream Scone ,Bakery,Scone,9.0
2934,2023-02-15,Ethiopia Sm,Coffee,Gourmet brewed coffee,22.0
2935,2023-02-15,Ethiopia Rg,Coffee,Gourmet brewed coffee,24.0
2936,2023-02-15,Our Old Time Diner Blend Sm,Coffee,Drip coffee,44.0
2937,2023-02-15,Ouro Brasileiro shot,Coffee,Barista Espresso,33.0
2938,2023-02-15,Columbian Medium Roast Sm,Coffee,Gourmet brewed coffee,22.0
2939,2023-02-15,Columbian Medium Roast Rg,Coffee,Gourmet brewed coffee,37.5
2940,2023-02-15,Traditional Blend Chai,Loose Tea,Chai tea,8.95
2941,2023-02-15,Dark chocolate Rg,Drinking Chocolate,Hot chocolate,63.0
2942,2023-02-15,I Need My Bean! T-shirt,Branded,Clothing,28.0
2943,2023-02-15,Earl Grey,Loose Tea,Black tea,17.9
2944,2023-02-15,Peppermint Lg,Tea,Brewed herbal tea,57.0
2945,2023-02-15,Jamaican Coffee River Lg,Coffee,Premium brewed coffee,52.5
2946,2023-02-15,Earl Grey Rg,Tea,Brewed Black tea,32.5
2947,2023-02-15,Serenity Green Tea Lg,Tea,Brewed Green tea,33.0
2948,2023-02-15,Latte,Coffee,Barista Espresso,75.0
2949,2023-02-15,Spicy Eye Opener Chai Lg,Tea,Brewed Chai tea,58.9
2950,2023-02-15,English Breakfast Rg,Tea,Brewed Black tea,37.5
2951,2023-02-15,Our Old Time Diner Blend Rg,Coffee,Drip coffee,35.0
2952,2023-02-15,Peppermint,Loose Tea,Herbal tea,8.95
2953,2023-02-15,Columbian Medium Roast Lg,Coffee,Gourmet brewed coffee,42.0
2954,2023-02-15,Sustainably Grown Organic Lg,Drinking Chocolate,Hot chocolate,71.25
2955,2023-02-15,Chocolate Croissant,Bakery,Pastry,37.5
2956,2023-02-15,Spicy Eye Opener Chai Rg,Tea,Brewed Chai tea,25.5
2957,2023-02-15,Dark chocolate Lg,Drinking Chocolate,Hot chocolate,175.5
2958,2023-02-15,I Need My Bean! Latte cup,Branded,Housewares,28.0
2959,2023-02-15,Chocolate syrup,Flavours,Regular syrup,19.2
2960,2023-02-15,English Breakfast Lg,Tea,Brewed Black tea,48.0
2961,2023-02-15,Latte Rg,Coffee,Barista Espresso,89.25
2962,2023-02-15,Traditional Blend Chai Lg,Tea,Brewed Chai tea,48.0
2963,2023-02-15,Chocolate Chip Biscotti,Bakery,Biscotti,38.5
2964,2023-02-15,Spicy Eye Opener Chai,Loose Tea,Chai tea,32.85
2965,2023-02-15,Espresso Roast,Coffee beans,Espresso Beans,14.75
2966,2023-02-15,Jumbo Savory Scone,Bakery,Scone,37.52
2967,2023-02-15,Hazelnut syrup,Flavours,Regular syrup,15.2
2968,2023-02-15,Serenity Green Tea Rg,Tea,Brewed Green tea,65.0
2969,2023-02-15,Hazelnut Biscotti,Bakery,Biscotti,13.0
2970,2023-02-15,Espresso shot,Coffee,Barista Espresso,51.0
2971,2023-02-15,I Need My Bean! Diner mug,Branded,Housewares,48.0
2972,2023-02-16,Peppermint Rg,Tea,Brewed herbal tea,80.0
2973,2023-02-16,Lemon Grass Rg,Tea,Brewed herbal tea,25.0
2974,2023-02-16,Chili Mayan,Packaged Chocolate,Drinking Chocolate,13.33
2975,2023-02-16,Hazelnut Biscotti,Bakery,Biscotti,29.25
2976,2023-02-16,Morning Sunrise Chai Rg,Tea,Brewed Chai tea,42.5
2977,2023-02-16,Espresso shot,Coffee,Barista Espresso,54.0
2978,2023-02-16,Chocolate syrup,Flavours,Regular syrup,16.0
2979,2023-02-16,Jamaican Coffee River Rg,Coffee,Premium brewed coffee,34.1
2980,2023-02-16,Brazilian Lg,Coffee,Organic brewed coffee,91.0
2981,2023-02-16,Chocolate Croissant,Bakery,Pastry,48.75
2982,2023-02-16,Spicy Eye Opener Chai Rg,Tea,Brewed Chai tea,25.5
2983,2023-02-16,Latte Rg,Coffee,Barista Espresso,38.25
2984,2023-02-16,Ethiopia Sm,Coffee,Gourmet brewed coffee,50.6
2985,2023-02-16,Traditional Blend Chai,Loose Tea,Chai tea,17.9
2986,2023-02-16,Primo Espresso Roast,Coffee beans,Espresso Beans,20.45
2987,2023-02-16,I Need My Bean! T-shirt,Branded,Clothing,28.0
2988,2023-02-16,Columbian Medium Roast,Coffee beans,Gourmet Beans,30.0
2989,2023-02-16,Civet Cat,Coffee beans,Premium Beans,90.0
2990,2023-02-16,Sugar Free Vanilla syrup,Flavours,Sugar free syrup,10.4
2991,2023-02-16,Dark chocolate Lg,Drinking Chocolate,Hot chocolate,81.0
2992,2023-02-16,Hazelnut syrup,Flavours,Regular syrup,4.8
2993,2023-02-16,Serenity Green Tea Lg,Tea,Brewed Green tea,39.0
2994,2023-02-16,Columbian Medium Roast Rg,Coffee,Gourmet brewed coffee,40.0
2995,2023-02-16,Jamaican Coffee River Sm,Coffee,Premium brewed coffee,24.5
2996,2023-02-16,Chocolate Chip Biscotti,Bakery,Biscotti,3.5
2997,2023-02-16,Lemon Grass Lg,Tea,Brewed herbal tea,21.0
2998,2023-02-16,Oatmeal Scone,Bakery,Scone,21.0
2999,2023-02-16,Morning Sunrise Chai,Loose Tea,Chai tea,19.0
3000,2023-02-16,Ethiopia Lg,Coffee,Gourmet brewed coffee,66.5
3001,2023-02-16,Serenity Green Tea Rg,Tea,Brewed Green tea,47.5
3002,2023-02-16,I Need My Bean! Latte cup,Branded,Housewares,70.0
3003,2023-02-16,I Need My Bean! Diner mug,Branded,Housewares,12.0
3004,2023-02-16,Carmel syrup,Flavours,Regular syrup,8.0
3005,2023-02-16,Jamaican Coffee River Lg,Coffee,Premium brewed coffee,60.0
3006,2023-02-16,Earl Grey Lg,Tea,Brewed Black tea,54.0
3007,2023-02-16,Earl Grey Rg,Tea,Brewed Black tea,57.5
3008,2023-02-16,Brazilian - Organic,Coffee beans,Organic Beans,18.0
3009,2023-02-16,Ethiopia,Coffee beans,Gourmet Beans,21.0
3010,2023-02-16,Espresso Roast,Coffee beans,Espresso Beans,14.75
3011,2023-02-16,English Breakfast Lg,Tea,Brewed Black tea,51.0
3012,2023-02-16,Dark chocolate,Packaged Chocolate,Drinking Chocolate,6.4
3013,2023-02-16,Our Old Time Diner Blend Rg,Coffee,Drip coffee,45.0
3014,2023-02-16,Peppermint,Loose Tea,Herbal tea,17.9
3015,2023-02-16,Lemon Grass,Loose Tea,Herbal tea,17.9
3016,2023-02-16,Our Old Time Diner Blend,Coffee beans,House blend Beans,36.0
3017,2023-02-16,Serenity Green Tea,Loose Tea,Green tea,9.25
3018,2023-02-16,Croissant,Bakery,Pastry,42.0
3019,2023-02-16,Latte,Coffee,Barista Espresso,78.75
3020,2023-02-16,Morning Sunrise Chai Lg,Tea,Brewed Chai tea,116.0
3021,2023-02-16,Columbian Medium Roast Sm,Coffee,Gourmet brewed coffee,30.0
3022,2023-02-16,Guatemalan Sustainably Grown,Coffee beans,Green beans,20.0
3023,2023-02-16,Scottish Cream Scone ,Bakery,Scone,31.5
3024,2023-02-16,Ethiopia Rg,Coffee,Gourmet brewed coffee,66.0
3025,2023-02-16,Traditional Blend Chai Lg,Tea,Brewed Chai tea,78.0
3026,2023-02-16,Ouro Brasileiro shot,Coffee,Barista Espresso,39.0
3027,2023-02-16,Our Old Time Diner Blend Sm,Coffee,Drip coffee,14.0
3028,2023-02-16,Spicy Eye Opener Chai,Loose Tea,Chai tea,10.95
3029,2023-02-16,Dark chocolate Rg,Drinking Chocolate,Hot chocolate,31.5
3030,2023-02-16,Ginger Biscotti,Bakery,Biscotti,30.66
3031,2023-02-16,Brazilian Rg,Coffee,Organic brewed coffee,51.0
3032,2023-02-16,English Breakfast Rg,Tea,Brewed Black tea,50.0
3033,2023-02-16,Sustainably Grown Organic Rg,Drinking Chocolate,Hot chocolate,82.5
3034,2023-02-16,Spicy Eye Opener Chai Lg,Tea,Brewed Chai tea,68.2
3035,2023-02-16,Brazilian Sm,Coffee,Organic brewed coffee,24.2
3036,2023-02-16,Jumbo Savory Scone,Bakery,Scone,56.28
3037,2023-02-16,Cappuccino Lg,Coffee,Barista Espresso,42.5
3038,2023-02-16,Ginger Scone,Bakery,Scone,48.72
3039,2023-02-16,Organic Decaf Blend,Coffee beans,Organic Beans,22.5
3040,2023-02-16,Traditional Blend Chai Rg,Tea,Brewed Chai tea,47.5
3041,2023-02-16,Columbian Medium Roast Lg,Coffee,Gourmet brewed coffee,42.0
3042,2023-02-16,Earl Grey,Loose Tea,Black tea,8.95
3043,2023-02-16,Our Old Time Diner Blend Lg,Coffee,Drip coffee,45.0
3044,2023-02-16,Almond Croissant,Bakery,Pastry,11.25
3045,2023-02-16,Cappuccino,Coffee,Barista Espresso,48.75
3046,2023-02-16,Cranberry Scone,Bakery,Scone,69.02
3047,2023-02-16,Sustainably Grown Organic Lg,Drinking Chocolate,Hot chocolate,123.5
3048,2023-02-16,Peppermint Lg,Tea,Brewed herbal tea,27.0
3049,2023-02-17,Almond Croissant,Bakery,Pastry,30.0
3050,2023-02-17,Traditional Blend Chai Lg,Tea,Brewed Chai tea,48.0
3051,2023-02-17,Lemon Grass Rg,Tea,Brewed herbal tea,27.5
3052,2023-02-17,Our Old Time Diner Blend Lg,Coffee,Drip coffee,27.0
3053,2023-02-17,Carmel syrup,Flavours,Regular syrup,10.4
3054,2023-02-17,Ethiopia Lg,Coffee,Gourmet brewed coffee,38.5
3055,2023-02-17,Spicy Eye Opener Chai,Loose Tea,Chai tea,21.9
3056,2023-02-17,Latte,Coffee,Barista Espresso,15.0
3057,2023-02-17,Brazilian Lg,Coffee,Organic brewed coffee,73.5
3058,2023-02-17,Chocolate syrup,Flavours,Regular syrup,8.8
3059,2023-02-17,Ginger Biscotti,Bakery,Biscotti,43.8
3060,2023-02-17,Peppermint Lg,Tea,Brewed herbal tea,51.0
3061,2023-02-17,Earl Grey Rg,Tea,Brewed Black tea,32.5
3062,2023-02-17,Brazilian Sm,Coffee,Organic brewed coffee,48.4
3063,2023-02-17,Hazelnut Biscotti,Bakery,Biscotti,35.75
3064,2023-02-17,Croissant,Bakery,Pastry,21.0
3065,2023-02-17,Jamaican Coffee River Rg,Coffee,Premium brewed coffee,62.0
3066,2023-02-17,Ethiopia Sm,Coffee,Gourmet brewed coffee,46.2
3067,2023-02-17,Our Old Time Diner Blend Rg,Coffee,Drip coffee,35.0
3068,2023-02-17,Sustainably Grown Organic,Packaged Chocolate,Organic Chocolate,7.6
3069,2023-02-17,Serenity Green Tea Lg,Tea,Brewed Green tea,51.0
3070,2023-02-17,Spicy Eye Opener Chai Lg,Tea,Brewed Chai tea,37.2
3071,2023-02-17,Chocolate Croissant,Bakery,Pastry,48.75
3072,2023-02-17,Jumbo Savory Scone,Bakery,Scone,23.45
3073,2023-02-17,Morning Sunrise Chai Rg,Tea,Brewed Chai tea,67.5
